student id,student name,accounting,management,entrpreneurship development,english,constitutional studies,interests,attendence,borrowed book 1,borrowed book 2
1,ram kumar,37.03,36.02,53.47,41.75,45.16,Health,55.5,"Management: Tasks, Responsibilities and Practices",
2,sarain,61.83,57.29,56.09,70.98,58.61,Handwriting,80.7,"Management: Tasks, Responsibilities and Practices","Management: Tasks, Responsibilities and Practices"
3,pankaj kumar,33.53,18.0,36.94,26.25,26.09,Language Arts,34.9,"A Concise Handbook of the Indian Economy in the 21st
Century",Advanced Accounts
4,sheak shakir,83.57,79.39,80.28,78.17,88.6,Leadership,85.8,"A Population History of India : From the First Modern
People to the Present Day",Fundamental of Financial Accounting
5,riyasat ali,64.84,72.65,82.15,64.83,61.81,Science,47.9,A Research on China’s Economic Growth Potential,Risk Management in Finance
6,vinit katariya,52.61,69.94,49.43,55.87,63.17,Latin,82.9,Agriculture in Developing Countries : Technology Issues,India Accounting Standards
7,sumit,56.76,54.33,64.28,51.43,48.28,Trigonometry,52.0,An Introduction to Econometric Theory,Illustrated Guide to India Accounting Standards
8,arindra,59.14,67.71,72.62,64.32,66.9,Accounting,53.4,"Analysing Social Opposition to Reforms : The Electricity
Sector in India",Company Law and Secretarial Practice.
9,kali charan,49.22,60.15,46.49,63.09,63.46,Leadership,73.1,Analytical Political Economy,Guide to Company Law Procedures.
10,badshya khan,51.97,66.11,57.92,54.56,44.92,Geography,43.5,"Arthik Sudhar aur Samajik Apvarjan : Bhaarat Mein
Upekshit Samuhon Par Udareekaran Ka Prabhav",Management Information Systems
11,vikash,69.56,69.86,71.59,75.04,71.77,Mathematics,52.3,Ascent and Decline of Native and Colonial Trading,Management Information Systems: Managerial Perspectives
12,devinder chadda,60.05,68.32,61.62,75.75,69.7,Instrumental Music,55.8,"Banking and Finance: Theory, Law & Practice",Currency Banking & Exchange
13,aman,63.1,66.61,54.83,57.19,62.69,American Literature,70.1,"Beyond Gandhian Economics : Towards a Creative
Deconstruction",Professional Business Skills 2nd Edition
14,mohan singh,64.67,53.19,56.29,55.79,58.89,Trigonometry,66.6,"Beyond Relocation : The Imperative of Sustainable
Resettlement",Financial Management in Hotels and Restaurant Industry
15,hemant,54.67,57.08,66.2,58.08,61.35,Leadership,43.7,Bharat 2050 : Sthayi Samriddhi ki Yojana,Principles of Accounting &Advanced Accounting
16,Estrella Yard,50.11,51.78,55.75,57.07,39.49,Trigonometry,40.6,Bharat ki Videsh Neeti : Chunauti aur Ranneeti,Professional Communication Skills
17,Bryon Bell,49.42,49.58,50.15,52.44,50.25,English IV,42.4,"Bhartiya Arthavyavsthechi Sankramanavastha : C.T.
kuriyen yanchya sanmanaarth nibandh",Marketing Management” (Latest Edition)-
